19.312,29.992,0,1,2
22.809,45.01,0,2,1
21.879,47.917,0,2,1
21.121,45.235,0,2,1
20.447,39.863,0,2,1
34.687,51.295,0,2,1
20.806,40.987,0,1,2
21.645,46.467,0,2,1
22.331,47.955,0,2,1
22.043,42.393,0,1,2
22.754,48.013,0,2,1
23.627,49.565,0,2,1
24.916,52.482,0,2,1
25.987,53.113,0,2,1
26.273,53.805,0,2,1
43.246,55.533,0,2,1
30.72,57.933,0,1,2
44.845,54.505,0,2,1
45.373,56.853,0,2,1
45.075,53.912,0,1,2
22.229,36.223,0,2,1
62.298,62.757,0,1,2
57.44,68.405,0,2,1
12.895,20.06,0,1,2
65.115,71.842,0,2,1
16.093,30.792,0,2,1
56.231,65.043,0,2,1
66.371,68.248,0,2,1
14.178,23.548,0,2,1
59.796,57.948,0,1,2
50.017,60.723,0,1,2
20.42,32.807,0,2,1
67.435,70.677,0,2,1
16.32,31.45,0,2,1
65.604,69.442,0,2,1
56.019,64.533,0,2,1
21.869,35.22,0,2,1
13.863,22.033,0,1,2
60.673,68.288,0,2,1
64.107,68.683,0,2,1
14.176,23.222,0,2,1
11.5,16.328,0,2,1
16.245,29.135,0,1,2
22.274,36.283,0,2,1
14.194,22.998,0,1,2
15.341,25.44,0,1,2
14.452,23.802,0,2,1
22.575,37.172,0,2,1
17.135,33.512,0,1,2
16.773,30.248,0,1,2
16.947,30.95,0,1,2
14.452,23.802,0,2,1
15.316,25.88,0,2,1
16.392,31.378,0,2,1
16.821,32.6,0,2,1
16.244,29.248,0,1,2
16.827,32.747,0,2,1
17.57,34.4,0,2,1
15.406,26.157,0,2,1
17.162,31.253,0,2,1
15.417,25.935,0,2,1
16.961,32.963,0,2,1
17.209,33.698,0,1,2
15.794,26.925,0,2,1
16.726,30.2,0,2,1
16.684,30.092,0,2,1
18.724,35.165,0,2,1
17.14,31.217,0,2,1
18.783,37.453,0,1,2
18.027,33.208,0,2,1
16.528,28.698,0,2,1
17.318,31.205,0,1,2
18.739,34.977,0,2,1
17.201,30.313,0,2,1
18.33,34.142,0,1,2
19.42,38.943,0,1,2
16.722,29.58,0,2,1
16.349,28.138,0,2,1
19.241,38.79,0,2,1
17.3,33.815,0,1,2
18.285,36.197,0,1,2
15.878,27.78,0,2,1
19.366,36.762,0,2,1
17.183,30.33,0,2,1
18.11,32.978,0,2,1
18.205,33.47,0,2,1
19.45,36.185,0,2,1
19.93,40.205,0,1,2
18.204,32.908,0,2,1
17.92,29.682,0,1,2
18.347,33.115,0,2,1
19.945,37.977,0,2,1
22.425,41.882,0,2,1
19.877,37.782,0,2,1
18.961,35.332,0,2,1
22.505,42.058,0,2,1
22.86,43.17,0,2,1
18.815,34.567,0,2,1
21.574,42.075,0,2,1
18.961,34.625,0,2,1
21.032,40.662,0,2,1
21.614,42.065,0,2,1
22.107,42.795,0,2,1
21.119,40.837,0,2,1
20.152,36.937,0,2,1
21.248,39.75,0,2,1
20.731,36.725,0,1,2
21.444,37.083,0,2,1
22.118,42.455,0,2,1
25.913,49.702,0,2,1
34.303,48.167,0,2,1
23.751,45.233,0,2,1
23.029,39.642,0,1,2
42.862,52.405,0,2,1
31.722,55.138,0,1,2
22.642,43.687,0,2,1
21.792,38.235,0,1,2
22.876,45.137,0,2,1
23.328,45.175,0,2,1
24.625,46.785,0,2,1
26.984,50.333,0,2,1
27.27,51.025,0,2,1
57.408,50.915,0,2,1
44.461,51.377,0,2,1
44.99,53.725,0,2,1
59.467,54.935,0,2,1
61.969,59.743,0,2,1
57.056,65.277,0,2,1
49.648,57.743,0,1,2
55.847,61.915,0,2,1
55.635,61.405,0,2,1
60.289,65.16,0,2,1
63.723,65.555,0,2,1
65.22,66.313,0,2,1
67.051,67.548,0,2,1
65.987,65.12,0,2,1
64.731,68.713,0,2,1
17.912,30.862,0,1,2
8.339,14.978,0,1,2
19.362,33.275,0,1,2
13.521,28.748,0,1,2
9.628,18.08,0,2,1
9.631,18.407,0,2,1
19.721,34.278,0,1,2
19.766,34.338,0,1,2
13.748,29.407,0,1,2
9.308,16.952,0,1,2
10.785,20.358,0,1,2
9.905,18.66,0,2,1
9.905,18.66,0,2,1
13.033,26.995,0,1,2
11.704,23.967,0,1,2
12.232,25.08,0,1,2
20.067,35.227,0,1,2
15.166,32.365,0,1,2
11.704,24.08,0,1,2
9.654,17.83,0,1,2
10.768,20.738,0,2,1
13.534,28.418,0,1,2
12.407,25.782,0,1,2
14.639,31.46,0,1,2
14.417,30.565,0,1,2
12.615,26.112,0,2,1
10.859,21.015,0,2,1
10.869,20.793,0,2,1
13.488,28.277,0,1,2
11.247,21.783,0,2,1
11.331,22.638,0,2,1
12.178,25.058,0,2,1
14.109,29.825,0,1,2
13.911,29.125,0,1,2
12.593,26.075,0,2,1
13.79,28.973,0,1,2
12.778,26.037,0,1,2
12.137,24.95,0,2,1
15.867,33.955,0,1,2
12.175,24.438,0,2,1
16.286,35.402,0,1,2
11.98,23.557,0,2,1
11.801,22.997,0,2,1
13.48,28.067,0,2,1
16.83,36.565,0,1,2
14.177,30.023,0,2,1
16.924,36.892,0,1,2
12.636,25.188,0,2,1
14.192,29.835,0,2,1
12.654,25.172,0,2,1
14.818,31.62,0,2,1
16.561,35.882,0,2,1
13.365,24.6,0,1,2
13.562,27.837,0,2,1
15.398,32.835,0,2,1
13.658,28.328,0,2,1
14.902,31.043,0,2,1
15.329,32.64,0,2,1
14.413,30.19,0,2,1
14.268,29.425,0,2,1
19.972,40.043,0,2,1
13.8,27.973,0,2,1
17.673,38.66,0,2,1
13.657,27.767,0,2,1
20.407,41.332,0,2,1
17.027,36.933,0,2,1
14.414,29.483,0,2,1
17.067,36.923,0,2,1
16.485,35.52,0,2,1
17.56,37.653,0,2,1
16.572,35.695,0,2,1
16.191,31.557,0,1,2
15.604,31.795,0,2,1
16.7,34.608,0,2,1
18.329,39.995,0,2,1
17.571,37.313,0,2,1
16.897,31.942,0,2,1
21.068,45.302,0,2,1
17.251,33.067,0,1,2
18.78,40.033,0,2,1
18.489,34.473,0,1,2
18.095,38.545,0,2,1
19.204,40.092,0,2,1
20.077,41.643,0,2,1
21.365,44.56,0,2,1
26.887,47.14,0,2,1
22.723,45.883,0,2,1
27.166,50.057,0,1,2
42.812,52.73,0,2,1
22.436,45.192,0,2,1
44.641,51.117,0,1,2
44.939,54.05,0,2,1
39.796,61.272,0,2,1
41.778,62.265,0,2,1
49.583,57.928,0,1,2
59.362,55.153,0,1,2
38.061,57.102,0,2,1
38.273,57.612,0,2,1
61.864,59.962,0,1,2
39.481,60.973,0,2,1
45.121,62.343,0,2,1
46.184,64.772,0,2,1
44.354,63.537,0,2,1
17.136,31.752,0,1,2
41.11,65.135,0,2,1
20.938,36.052,0,1,2
17.55,34.728,0,1,2
18.29,33.462,0,2,1
18.293,33.788,0,2,1
21.297,37.055,0,1,2
17.591,34.942,0,1,2
18.855,36.352,0,1,2
21.342,37.115,0,1,2
18.354,33.408,0,2,1
17.628,34.713,0,2,1
20.086,39.377,0,1,2
18.567,34.042,0,2,1
21.643,38.003,0,1,2
17.526,34.365,0,2,1
18.04,35.815,0,2,1
17.411,34.293,0,1,2
18.567,34.042,0,2,1
17.856,35.14,0,2,1
17.376,34.083,0,2,1
17.805,35.305,0,2,1
17.811,35.452,0,2,1
19.521,36.397,0,2,1
18.374,36.823,0,2,1
17.399,34.452,0,2,1
17.793,35.613,0,2,1
17.43,34.248,0,2,1
18.076,36.003,0,2,1
18.459,36.463,0,2,1
17.474,34.413,0,2,1
18.422,36.723,0,1,2
19.938,39.832,0,1,2
18.223,36.822,0,2,1
17.945,35.668,0,2,1
19.004,38.658,0,2,1
19.102,38.742,0,2,1
17.525,34.592,0,2,1
18.81,37.777,0,2,1
17.726,35.293,0,2,1
18.265,36.445,0,2,1
19.337,38.95,0,2,1
18.631,37.217,0,2,1
18.827,37.6,0,2,1
20.258,41.238,0,2,1
19.201,38.607,0,1,2
20.127,41.063,0,2,1
19.539,39.368,0,2,1
19.068,38.345,0,2,1
19.496,39.627,0,2,1
19.655,40.042,0,2,1
19.744,40.602,0,2,1
19.466,39.408,0,2,1
19.68,39.835,0,2,1
20.953,42.24,0,1,2
20.249,40.117,0,2,1
20.166,41.132,0,2,1
19.68,39.835,0,2,1
20.381,41.685,0,2,1
21.623,42.972,0,2,1
20.312,41.49,0,2,1
20.856,42.622,0,2,1
22.058,44.26,0,2,1
22.658,45.695,0,2,1
20.709,42.563,0,2,1
20.393,42.008,0,2,1
21.703,43.148,0,2,1
21.645,44.693,0,1,2
21.604,45.067,0,2,1
23.682,47.98,0,2,1
22.645,46.72,0,2,1
23.855,49.44,0,2,1
23.169,47.952,0,2,1
24.84,49.402,0,2,1
23.213,44.602,0,2,1
21.665,44.01,0,2,1
22.63,44.905,0,2,1
24.714,46.848,0,2,1
22.42,44.908,0,2,1
22.16,45.038,0,2,1
23.638,45.9,0,2,1
22.32,46.512,0,2,1
25.151,51.05,0,2,1
24.278,49.498,0,2,1
27.511,54.598,0,2,1
27.617,52.912,0,2,1
38.431,58.582,0,2,1
27.797,55.29,0,2,1
41.604,61.868,0,2,1
52.976,57.092,0,2,1
40.03,57.553,0,2,1
57.537,65.92,0,2,1
40.558,59.902,0,2,1
55.036,61.112,0,2,1
48.016,64.015,0,1,2
51.416,68.092,0,2,1
52.624,71.453,0,2,1
59.291,71.732,0,2,1
51.203,67.582,0,2,1
55.858,71.337,0,2,1
60.789,72.49,0,2,1
60.3,74.89,0,2,1
16.908,33.148,0,1,2
5.665,13.582,0,2,1
62.619,73.725,0,2,1
61.556,71.297,0,2,1
10.54,26.24,0,2,1
3.753,9.388,0,2,1
7.82,19.522,0,2,1
17.267,34.152,0,1,2
5.618,13.427,0,2,1
11.332,28.013,0,2,1
5.434,13.438,0,2,1
8.348,20.635,0,2,1
17.613,35.1,0,1,2
4.202,10.437,0,2,1
17.312,34.212,0,1,2
4.738,11.5,0,2,1
5.501,13.485,0,2,1
10.767,26.898,0,2,1
6.805,16.357,0,2,1
8.523,21.337,0,2,1
9.149,22.55,0,2,1
10.532,26.12,0,2,1
9.649,23.973,0,2,1
7.819,19.635,0,2,1
8.715,21.625,0,2,1
6.221,15.035,0,2,1
11.281,27.92,0,2,1
9.603,23.832,0,2,1
6.795,16.193,0,2,1
8.278,20.572,0,2,1
6.4,15.893,0,2,1
7.431,18.152,0,2,1
10.224,25.38,0,2,1
8.693,21.588,0,2,1
10.026,24.68,0,2,1
8.174,20.568,0,2,1
9.906,24.528,0,2,1
8.893,21.592,0,2,1
12.583,31.088,0,2,1
9.58,23.58,0,2,1
11.982,29.51,0,2,1
10.277,25.537,0,2,1
7.777,19.602,0,2,1
6.88,16.673,0,2,1
6.868,16.79,0,2,1
12.945,32.12,0,2,1
7.803,19.115,0,2,1
7.807,19.108,0,2,1
13.342,33.015,0,2,1
10.291,25.348,0,2,1
14.857,36.803,0,2,1
9.488,23.237,0,2,1
10.918,27.133,0,2,1
7.628,16.402,0,2,1
12.661,31.395,0,2,1
9.582,23.167,0,2,1
10.828,26.443,0,2,1
9.009,21.942,0,2,1
11.497,28.348,0,2,1
9.583,23.728,0,2,1
10.339,25.59,0,2,1
11.429,28.153,0,2,1
13.773,34.173,0,2,1
15.37,38.322,0,2,1
9.87,24.385,0,2,1
10.017,24.443,0,2,1
13.127,32.447,0,2,1
12.411,30.92,0,2,1
13.166,32.437,0,2,1
12.498,31.095,0,2,1
11.641,26.237,0,1,2
13.486,33.053,0,2,1
11.263,26.967,0,2,1
14.429,35.508,0,2,1
12.626,30.008,0,2,1
12.59,24.403,0,2,1
17.168,40.815,0,2,1
13.496,32.713,0,2,1
12.794,25.403,0,2,1
14.706,35.433,0,2,1
15.294,29.013,0,2,1
15.129,35.492,0,2,1
14.021,33.945,0,2,1
16.003,37.043,0,2,1
18.362,40.592,0,2,1
17.291,39.96,0,2,1
18.648,41.283,0,2,1
26.68,51.59,0,2,1
21.429,41.858,0,2,1
43.978,55.982,0,1,2
32.848,54.717,0,2,1
22.116,39.398,0,2,1
37.008,54.523,0,2,1
34.711,53.232,0,2,1
30.116,51.997,0,2,1
44.789,51.598,0,2,1
46.479,60.79,0,1,2
35.026,53.53,0,2,1
33.29,49.36,0,2,1
33.503,49.87,0,2,1
41.413,57.03,0,2,1
39.583,55.795,0,2,1
40.35,54.602,0,2,1
36.339,57.393,0,2,1
16.895,33.102,0,2,1
16.829,33.447,0,2,1
17.39,34.547,0,1,2
19.529,34.013,0,2,1
17.431,34.76,0,1,2
19.574,34.073,0,2,1
18.17,36.783,0,2,1
17.328,34.343,0,2,1
17.304,33.922,0,2,1
16.78,33.072,0,2,1
19.401,39.785,0,2,1
17.226,33.995,0,2,1
16.658,33.855,0,2,1
19.875,34.962,0,2,1
16.82,33.32,0,2,1
17.076,33.927,0,1,2
17.185,33.772,0,2,1
17.051,33.627,0,2,1
17.493,35.243,0,2,1
17.128,33.855,0,2,1
17.099,35.103,0,2,1
17.149,34.018,0,2,1
17.734,35.427,0,2,1
16.78,33.072,0,2,1
16.78,33.072,0,2,1
17.282,34.235,0,2,1
17.174,34.043,0,2,1
17.425,34.827,0,2,1
17.603,35.012,0,2,1
18.439,37.308,0,2,1
17.106,33.913,0,2,1
17.027,33.898,0,2,1
18.102,36.715,0,2,1
17.552,35.453,0,2,1
18.159,36.093,0,2,1
17.728,35.213,0,1,2
18.279,37.067,0,2,1
18.354,37.482,0,2,1
17.98,36.04,0,2,1
18.159,36.6,0,2,1
18.154,36.515,0,2,1
18.507,37.097,0,1,2
18.674,38.063,0,2,1
18.544,37.888,0,2,1
18.44,37.67,0,2,1
18.815,38.232,0,2,1
18.406,37.08,0,2,1
18.348,37.427,0,2,1
18.721,38.432,0,2,1
18.596,38.402,0,2,1
18.532,37.635,0,2,1
18.949,38.978,0,2,1
18.532,37.635,0,2,1
19.557,38.815,0,1,2
19.504,39.867,0,2,1
19.233,39.485,0,2,1
19.725,39.672,0,2,1
19.71,40.628,0,2,1
19.245,39.808,0,2,1
19.805,39.848,0,2,1
19.164,39.29,0,2,1
20.16,40.96,0,2,1
20.76,42.395,0,2,1
20.194,41.357,0,2,1
20.494,42.573,0,1,2
20.522,41.608,0,2,1
21.378,43.543,0,2,1
20.456,42.867,0,2,1
21.012,42.838,0,2,1
21.784,44.68,0,2,1
21.573,42.938,0,2,1
20.517,41.81,0,2,1
22.49,43.7,0,2,1
22.065,42.402,0,2,1
21.497,44.52,0,2,1
22.942,46.102,0,2,1
22.021,45.752,0,2,1
22.707,47.24,0,2,1
23.566,44.648,0,2,1
23.13,47.298,0,2,1
24.003,48.85,0,2,1
27.672,52.238,0,2,1
25.719,49.612,0,2,1
53.017,55.853,0,2,1
27.959,52.93,0,2,1
38.472,57.343,0,2,1
40.071,56.315,0,2,1
31.489,60.042,0,2,1
40.599,58.663,0,2,1
55.077,59.873,0,2,1
57.578,64.682,0,2,1
51.457,66.853,0,2,1
52.665,70.215,0,2,1
45.556,63.037,0,1,2
51.244,66.343,0,2,1
55.899,70.098,0,2,1
60.341,73.652,0,2,1
60.83,71.252,0,2,1
62.66,72.487,0,2,1
59.332,70.493,0,2,1
10.527,26.265,0,1,2
61.597,70.058,0,2,1
10.999,27.775,0,2,1
17.749,35.55,0,2,1
10.93,27.697,0,2,1
12.262,30.82,0,2,1
17.794,35.61,0,2,1
10.916,27.392,0,1,2
11.056,27.79,0,2,1
18.095,36.498,0,2,1
11.017,27.367,0,1,2
11.152,27.907,0,2,1
11.097,28.038,0,2,1
10.974,27.732,0,1,2
11.821,29.858,0,1,2
13.493,33.822,0,2,1
11.482,28.682,0,2,1
11.002,27.625,0,2,1
11.419,29.155,0,2,1
11.432,28.847,0,2,1
12.01,30.145,0,2,1
12.181,30.647,0,2,1
11.438,28.993,0,2,1
11.056,27.79,0,2,1
11.1,27.955,0,2,1
11.571,29.21,0,2,1
11.025,27.993,0,2,1
11.702,29.545,0,2,1
11.151,28.133,0,2,1
11.892,29.987,0,2,1
11.352,28.835,0,2,1
11.985,30.162,0,1,2
12.728,32.283,0,2,1
12.085,30.005,0,2,1
11.85,30.363,0,2,1
13.468,33.8,0,1,2
12.453,31.142,0,2,1
12.963,32.492,0,2,1
12.63,32.2,0,2,1
12.436,31.318,0,2,1
12.764,32.045,0,1,2
12.257,30.758,0,2,1
13.852,35.037,0,2,1
14.106,35.29,0,1,2
12.694,31.887,0,2,1
13.165,32.91,0,2,1
13.092,32.95,0,2,1
13.37,34.143,0,2,1
13.122,33.168,0,2,1
13.281,33.583,0,2,1
13.306,33.377,0,2,1
14.616,36.552,0,1,2
14.067,35.21,0,1,2
13.306,33.377,0,2,1
13.792,34.673,0,2,1
13.875,33.658,0,2,1
16.074,40.243,0,1,2
13.938,35.032,0,2,1
14.019,35.55,0,2,1
15.298,38.572,0,1,2
15.696,39.308,0,1,2
14.336,36.105,0,2,1
16.588,41.762,0,1,2
15.23,38.608,0,2,1
15.946,40.053,0,2,1
15.208,38.132,0,1,2
14.482,36.163,0,2,1
15.736,39.298,0,1,2
16.297,38.43,0,1,2
15.291,37.552,0,2,1
15.786,38.58,0,2,1
16.998,42.37,0,1,2
16.839,38.143,0,2,1
16.271,40.262,0,2,1
18.659,45.143,0,1,2
